level,metric,period1,period2,tau_mean,tau_median,tau_min,tau_max,tau_sd,R,tau_obs,p_mc_greater
node,degree,-2000,2001-2005,0.062391343581210984,0.07092083799847584,-0.45234356035295015,0.51176504699082,0.16157873885663962,1000,0.5385057961806337,0.003996003996003996
node,degree,2001-2005,2006-2010,0.11762673944411266,0.12005086352066355,-0.40353433056358945,0.5623461860448701,0.13814977777529905,1000,0.7509674938740044,0.000999000999000999
node,degree,2006-2010,2011-2015,0.29317553125196083,0.29189415608101454,-0.07664069351461311,0.6152049523757335,0.10179649887568246,1000,0.5795740815468743,0.007992007992007992
node,degree,2011-2015,2016-2020,0.4572824262328055,0.457891219795056,0.19549117772382948,0.6658201054786196,0.08758987662185228,1000,0.7109801721558935,0.002997002997002997
node,degree,2016-2020,2021-2025,0.5024125116105708,0.5063245369981215,0.18000056250263674,0.7346962681482437,0.08382227312348409,1000,0.7446808510638298,0.002997002997002997
node,strength,-2000,2001-2005,0.06250359132157733,0.07174456411427813,-0.4305467273138386,0.5363984674329503,0.16618795319125934,1000,0.3854576667590452,0.04895104895104895
node,strength,2001-2005,2006-2010,0.11298669085806574,0.11459027817232853,-0.4002810804417138,0.5853046281460138,0.1408115324691249,1000,0.7977484519151863,0.000999000999000999
node,strength,2006-2010,2011-2015,0.23941173682516115,0.24160906528426151,-0.10910778607993887,0.6264988611101562,0.10747003527070215,1000,0.78825511219824,0.000999000999000999
node,strength,2011-2015,2016-2020,0.3339486441424233,0.33033119269272515,0.05825311355284122,0.6425289471062309,0.09244098601203234,1000,0.8287865639961639,0.000999000999000999
node,strength,2016-2020,2021-2025,0.36367626663805236,0.364078016813676,0.03121250748500029,0.6553813739303448,0.08812407482975716,1000,0.7743821886422612,0.000999000999000999
node,betweenness,-2000,2001-2005,0.06029277815123005,0.06612860257511702,-0.44151624989693206,0.4855275477518125,0.14945420351031347,1000,0.6361942179900353,0.000999000999000999
node,betweenness,2001-2005,2006-2010,0.10247276110165242,0.1018158761082896,-0.3872053872053872,0.4877560262382697,0.13144857233629598,1000,0.7581753965757455,0.000999000999000999
node,betweenness,2006-2010,2011-2015,0.23054306866117533,0.2323444641865317,-0.1101658032572788,0.5219651925925431,0.10531961234242773,1000,0.5574175147179049,0.003996003996003996
node,betweenness,2011-2015,2016-2020,0.31050551015807015,0.30785922377902597,-0.05122194994259823,0.6587624154455228,0.09827207296923278,1000,0.543961138140183,0.01898101898101898
node,betweenness,2016-2020,2021-2025,0.33961856642179844,0.33709935177156,0.03818883799855062,0.5983221011177767,0.09323838897228034,1000,0.7281113804357788,0.000999000999000999
node,node_count,-2000,2001-2005,0.06250359132157733,0.07174456411427813,-0.4305467273138386,0.5363984674329503,0.16618795319125934,1000,0.3854576667590452,0.04895104895104895
node,node_count,2001-2005,2006-2010,0.11298669085806574,0.11459027817232853,-0.4002810804417138,0.5853046281460138,0.1408115324691249,1000,0.7977484519151863,0.000999000999000999
node,node_count,2006-2010,2011-2015,0.23941173682516115,0.24160906528426151,-0.10910778607993887,0.6264988611101562,0.10747003527070215,1000,0.78825511219824,0.000999000999000999
node,node_count,2011-2015,2016-2020,0.3339486441424233,0.33033119269272515,0.05825311355284122,0.6425289471062309,0.09244098601203234,1000,0.8287865639961639,0.000999000999000999
node,node_count,2016-2020,2021-2025,0.36367626663805236,0.364078016813676,0.03121250748500029,0.6553813739303448,0.08812407482975716,1000,0.7743821886422612,0.000999000999000999
edge,pair_count,-2000,2001-2005,0.015445692192278832,-0.16666666666666666,-0.9999999999999999,1.0,0.4124256699508273,1000,0.2055509585652431,0.660056657223796
edge,pair_count,2001-2005,2006-2010,0.005805164517882594,-0.07689195721457559,-0.5393598899705937,0.7276068751089988,0.2569344257691952,1000,0.4923911238572494,0.04132231404958678
edge,pair_count,2006-2010,2011-2015,0.025799393353581196,0.02452436724784335,-0.35848876541655916,0.4040099159396295,0.12301833039392482,1000,0.6493780313595316,0.000999000999000999
edge,pair_count,2011-2015,2016-2020,0.04137612085853784,0.04197748743807807,-0.22886044204356312,0.38279284179913803,0.08739555815213415,1000,0.6514375372178262,0.000999000999000999
edge,pair_count,2016-2020,2021-2025,0.051177665120816174,0.049231579103813386,-0.2520379462150311,0.318698722384708,0.08567802581856081,1000,0.5493734065572157,0.000999000999000999
edge,edge_betweenness,-2000,2001-2005,0.019963905513632342,0.0,-1.0,1.0,0.34966806146400436,1000,0.24038461538461542,0.49797160243407707
edge,edge_betweenness,2001-2005,2006-2010,0.023631643418886364,0.017543859649122806,-0.6888888888888888,0.6,0.20043780371575726,1000,0.4534619119922925,0.03596403596403597
edge,edge_betweenness,2006-2010,2011-2015,0.03252265359810473,0.03100455735826395,-0.31578949448713967,0.33671988388969526,0.10497913261558059,1000,0.14709851551956815,0.2977022977022977
edge,edge_betweenness,2011-2015,2016-2020,0.007441262628509518,0.0024374548298632765,-0.3319298245614035,0.3357310386147575,0.09749850701179064,1000,0.2728372655777374,0.00999000999000999
edge,edge_betweenness,2016-2020,2021-2025,0.012696384416102635,0.01275964917128039,-0.3218556769445357,0.28046632452732073,0.09924649844658359,1000,0.34556191316600027,0.001998001998001998
edge,edge_betweenness_weighted,-2000,2001-2005,0.038806475781680866,0.044946657497549475,-1.0,1.0,0.34650901166449066,1000,0.14288690166235207,0.7413793103448276
edge,edge_betweenness_weighted,2001-2005,2006-2010,0.01581369342295597,0.018350168350168353,-0.6,0.6666666666666666,0.19570552650909756,1000,0.21372727440850164,0.3206793206793207
edge,edge_betweenness_weighted,2006-2010,2011-2015,0.028730649487760645,0.03160815691102831,-0.26530828541980994,0.3243419825716902,0.09864303550158035,1000,0.6136063667593094,0.000999000999000999
edge,edge_betweenness_weighted,2011-2015,2016-2020,0.042083347989090344,0.04053537272282852,-0.20345982624625658,0.31332946720268756,0.0776897092722511,1000,0.5569319733855326,0.000999000999000999
edge,edge_betweenness_weighted,2016-2020,2021-2025,0.050343493192163094,0.050507341420544055,-0.22818503175645902,0.34191598153484587,0.07906298470562716,1000,0.3374834448168076,0.001998001998001998
triangle,triangle_count,-2000,2001-2005,,,,,,1000,0.3273268353539886,
triangle,triangle_count,2001-2005,2006-2010,,,,,,1000,0.34045882057130067,
triangle,triangle_count,2006-2010,2011-2015,-0.03978375496032288,-0.12499999999999999,-0.3779644730092272,1.0,0.29375341247314146,1000,0.5891270032880942,0.09649122807017543
triangle,triangle_count,2011-2015,2016-2020,0.014404697713382174,-0.07223151185146151,-0.2773500981126146,1.0,0.2215847164629085,1000,0.5478624488739688,0.04249667994687915
triangle,triangle_count,2016-2020,2021-2025,-0.012018835281752559,-0.07407407407407407,-0.24349237677883698,0.6793662204867575,0.16958309150571807,1000,0.5607239944119511,0.005599104143337066
